Kassenkredite, Wertpapierschulden und Kredite der Gemeinden;;;;;;;;;;;;;;;;;;;;;;;;;;
und Gemeindeverbände;;;;;;;;;;;;;;;;;;;;;;;;;;
- Gemeinden/GV - Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;
Schulden der Gemeinden/GV und FEU;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeinden und Gemeindeverbände;;Stichtag;Stichtag;;;;;;;;;;;;;;;;;;;;;;;
;;30.06.2014;31.12.2014;;;;;;;;;;;;;;;;;;;;;;;
;;Bevölkerungsstand;Insgesamt;;;;;;Kernhaushalt;;;;;;Eigenbetriebe u. Krh o. e. Rechtspersönlichkeit 1);;;;;;s. Einr. der Gem./GV in öffentl.-rechtl. Form 2);;;;;
;;;brutto;brutto je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;netto (ohne Schulden beim Träger);netto (ohne Schulden beim Träger) je Einwohner;insgesamt;insgesamt je Einwohner;Kassenkredite;Kassenkredite je Einwohner;Investitionskredite (inkl. Wertpapierschulden);Investitionskredite (inkl. Wertpapiersch.)je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.
;;Anzahl;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR
05970;    Siegen-Wittgenstein, Kreis;274249;844423;3079,03;511;1,86;843912;3077,17;583274;2126,8;315107;1148,98;268167;977,82;261149;952,23;511;1,86;-;-;-;-;-;-;-;-
05970001;      Siegen-Wittgenstein, Kreisverwaltung;274249;16196;59,06;-;-;16196;59,06;16196;59,06;-;-;16196;59,06;-;-;-;-;-;-;-;-;-;-;-;-
05970004;      Bad Berleburg, Stadt;19149;65941;3443,57;-;-;65941;3443,57;33434;1745,99;25000;1305,55;8434;440,44;32507;1697,58;-;-;-;-;-;-;-;-;-;-
05970008;      Burbach;14268;29276;2051,87;-;-;29276;2051,87;5850;410,01;2494;174,8;3356;235,21;23426;1641,86;-;-;-;-;-;-;-;-;-;-
05970012;      Erndtebrück;7192;22447;3121,11;-;-;22447;3121,11;20599;2864,16;5500;764,74;15099;2099,42;1848;256,95;-;-;-;-;-;-;-;-;-;-
05970016;      Freudenberg, Stadt;17826;48961;2746,6;-;-;48961;2746,6;4630;259,73;950;53,29;3680;206,44;44331;2486,87;-;-;-;-;-;-;-;-;-;-
05970020;      Hilchenbach, Stadt;14970;21064;1407,08;204;13,63;20860;1393,45;9250;617,9;5000;334;4250;283,9;11814;789,18;204;13,63;-;-;-;-;-;-;-;-
05970024;      Kreuztal, Stadt;30859;58508;1895,98;-;-;58508;1895,98;52875;1713,44;-;-;52875;1713,44;5633;182,54;-;-;-;-;-;-;-;-;-;-
05970028;      Bad Laasphe, Stadt;13883;49807;3587,62;-;-;49807;3587,62;46299;3334,94;22700;1635,09;23599;1699,85;3508;252,68;-;-;-;-;-;-;-;-;-;-
05970032;      Netphen, Stadt;23069;37941;1644,67;307;13,31;37634;1631,36;30772;1333,91;3000;130,04;27772;1203,87;7169;310,76;307;13,31;-;-;-;-;-;-;-;-
05970036;      Neunkirchen;13619;28448;2088,85;-;-;28448;2088,85;21017;1543,22;12500;917,84;8517;625,38;7431;545,63;-;-;-;-;-;-;-;-;-;-
05970040;      Siegen, Stadt;99254;403513;4065,46;-;-;403513;4065,46;312200;3145,47;220044;2216,98;92156;928,49;91313;919,99;-;-;-;-;-;-;-;-;-;-
05970044;      Wilnsdorf;20160;62321;3091,32;-;-;62321;3091,32;30152;1495,64;17919;888,84;12233;606,8;32169;1595,68;-;-;-;-;-;-;-;-;-;-
05974;    Soest, Kreis;295551;626561;2119,98;40543;137,18;586018;1982,8;461842;1562,65;200100;677,04;261742;885,61;104145;352,38;7327;24,79;-;-;60574;204,95;33216;112,39;-;-
05974001;      Soest, Kreisverwaltung;295551;33587;113,64;-;-;33587;113,64;33587;113,64;4001;13,54;29586;100,1;-;-;-;-;-;-;-;-;-;-;-;-
05974004;      Anröchte;10339;21594;2088,6;-;-;21594;2088,6;21594;2088,6;5545;536,32;16049;1552,28;-;-;-;-;-;-;-;-;-;-;-;-
05974008;      Bad Sassendorf;11577;7564;653,36;-;-;7564;653,36;7564;653,36;-;-;7564;653,36;-;-;-;-;-;-;-;-;-;-;-;-
05974012;      Ense;12261;8695;709,16;-;-;8695;709,16;8695;709,16;3000;244,68;5695;464,48;-;-;-;-;-;-;-;-;-;-;-;-
05974016;      Erwitte, Stadt;15771;17622;1117,37;3833;243,04;13789;874,33;2409;152,75;-;-;2409;152,75;15213;964,62;3833;243,04;-;-;-;-;-;-;-;-
05974020;      Geseke, Stadt;20568;32558;1582,94;3494;169,88;29064;1413,06;20988;1020,42;4881;237,31;16107;783,11;11570;562,52;3494;169,88;-;-;-;-;-;-;-;-
05974024;      Lippetal;11788;1354;114,86;-;-;1354;114,86;1354;114,86;-;-;1354;114,86;-;-;-;-;-;-;-;-;-;-;-;-
05974028;      Lippstadt, Stadt;66410;69589;1047,87;13577;204,44;56012;843,43;45223;680,97;-;-;45223;680,97;-;-;-;-;-;-;24366;366,9;13577;204,44;-;-
05974032;      Möhnesee;10886;7582;696,49;-;-;7582;696,49;7582;696,49;-;-;7582;696,49;-;-;-;-;-;-;-;-;-;-;-;-
05974036;      Rüthen, Stadt;10350;10348;999,81;-;-;10348;999,81;6255;604,35;3000;289,86;3255;314,49;4093;395,46;-;-;-;-;-;-;-;-;-;-
05974040;      Soest, Stadt;46943;192888;4108,98;19639;418,36;173249;3690,62;134259;2860,04;72473;1543,85;61786;1316,19;22421;477,62;-;-;-;-;36208;771,32;19639;418,36;-;-
05974044;      Warstein, Stadt;25144;51350;2042,24;-;-;51350;2042,24;39110;1555,44;25500;1014,16;13610;541,28;12240;486,8;-;-;-;-;-;-;-;-;-;-
05974048;      Welver;12048;13885;1152,47;-;-;13885;1152,47;13885;1152,47;1500;124,5;12385;1027,97;-;-;-;-;-;-;-;-;-;-;-;-
05974052;      Werl, Stadt;29895;134958;4514,4;-;-;134958;4514,4;96350;3222,95;71200;2381,67;25150;841,28;38608;1291,45;-;-;-;-;-;-;-;-;-;-
05974056;      Wickede (Ruhr);11571;22987;1986,61;-;-;22987;1986,61;22987;1986,61;9000;777,81;13987;1208,8;-;-;-;-;-;-;-;-;-;-;-;-
05978;    Unna, Kreis;391577;1496938;3822,85;85574;218,53;1411364;3604,32;1003769;2563,4;537338;1372,24;466431;1191,16;369675;944,07;46470;118,67;-;-;123494;315,38;39104;99,86;-;-
05978001;      Unna, Kreisverwaltung;391577;49738;127,02;-;-;49738;127,02;49738;127,02;-;-;49738;127,02;-;-;-;-;-;-;-;-;-;-;-;-
05978004;      Bergkamen, Stadt;48083;181928;3783,62;-;-;181928;3783,62;108048;2247,11;67200;1397,58;40848;849,53;73880;1536,51;-;-;-;-;-;-;-;-;-;-
05978008;      Bönen;17924;70480;3932,16;-;-;70480;3932,16;70480;3932,16;14500;808,97;55980;3123,19;-;-;-;-;-;-;-;-;-;-;-;-
05978012;      Fröndenberg / Ruhr, Stadt;20694;32137;1552,97;-;-;32137;1552,97;9116;440,52;6000;289,94;3116;150,58;23021;1112,45;-;-;-;-;-;-;-;-;-;-
