Kassenkredite, Wertpapierschulden und Kredite der Gemeinden;;;;;;;;;;;;;;;;;;;;;;;;;;
und Gemeindeverbände;;;;;;;;;;;;;;;;;;;;;;;;;;
- Gemeinden/GV - Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;
Schulden der Gemeinden/GV und FEU;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeinden und Gemeindeverbände;;Stichtag;Stichtag;;;;;;;;;;;;;;;;;;;;;;;
;;30.06.2014;31.12.2014;;;;;;;;;;;;;;;;;;;;;;;
;;Bevölkerungsstand;Insgesamt;;;;;;Kernhaushalt;;;;;;Eigenbetriebe u. Krh o. e. Rechtspersönlichkeit 1);;;;;;s. Einr. der Gem./GV in öffentl.-rechtl. Form 2);;;;;
;;;brutto;brutto je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;netto (ohne Schulden beim Träger);netto (ohne Schulden beim Träger) je Einwohner;insgesamt;insgesamt je Einwohner;Kassenkredite;Kassenkredite je Einwohner;Investitionskredite (inkl. Wertpapierschulden);Investitionskredite (inkl. Wertpapiersch.)je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.
;;Anzahl;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR
05;Nordrhein-Westfalen;17591450;63681989;3620,06;2037299;115,81;61644690;3504,25;49452378;2811,16;26398681;1500,65;23053692;1310,51;10322779;586,81;1481691;84,23;-;-;3906832;222,09;555608;31,58;-;-
051;  Düsseldorf, Regierungsbezirk;5094443;20647714;4053;400936;78,71;20246778;3974,29;17101315;3356,86;11390487;2235,87;5710829;1120,99;2612918;512,9;294639;57,84;-;-;933481;183,24;106297;20,87;-;-
05111;    Düsseldorf, krfr. Stadt;601074;530865;883,19;-;-;530865;883,19;323364;537,97;288000;479,14;35364;58,83;207501;345,22;-;-;-;-;-;-;-;-;-;-
05112;    Duisburg, krfr. Stadt;485580;3248726;6690,4;55724;114,76;3193002;6575,64;2192855;4515,95;1777900;3661,39;414955;854,56;634547;1306,78;-;-;-;-;421324;867,67;55724;114,76;-;-
05113;    Essen, krfr. Stadt;570827;3317336;5811,46;-;-;3317336;5811,46;3279452;5745,09;2061251;3610,99;1218201;2134,1;37884;66,37;-;-;-;-;-;-;-;-;-;-
05114;    Krefeld, krfr. Stadt;222424;867778;3901,45;-;-;867778;3901,45;616845;2773,28;426550;1917,73;190295;855,55;250933;1128,17;-;-;-;-;-;-;-;-;-;-
05116;    Mönchengladbach, krfr. Stadt;255975;1340751;5237,82;-;-;1340751;5237,82;1340751;5237,82;1010000;3945,7;330751;1292,12;-;-;-;-;-;-;-;-;-;-;-;-
05117;    Mülheim an der Ruhr, krfr. Stadt;166769;1347195;8078,2;-;-;1347195;8078,2;1236835;7416,45;846271;5074,51;390563;2341,94;110360;661,75;-;-;-;-;-;-;-;-;-;-
05119;    Oberhausen, krfr. Stadt;209210;1863670;8908,14;-;-;1863670;8908,14;1842383;8806,39;1566300;7486,74;276083;1319,65;21287;101,75;-;-;-;-;-;-;-;-;-;-
05120;    Remscheid, krfr. Stadt;109024;814406;7469,97;-;-;814406;7469,97;684750;6280,73;525000;4815,45;159750;1465,27;129656;1189,24;-;-;-;-;-;-;-;-;-;-
05122;    Solingen, krfr. Stadt;156369;944865;6042,54;6315;40,39;938550;6002,15;690988;4418,96;505436;3232,33;185552;1186,63;253877;1623,58;6315;40,39;-;-;-;-;-;-;-;-
05124;    Wuppertal, krfr. Stadt;343494;2076939;6046,51;50;0,15;2076889;6046,36;1877991;5467,32;1403700;4086,53;474291;1380,78;198948;579,19;50;0,15;-;-;-;-;-;-;-;-
05154;    Kleve, Kreis;303410;389456;1283,6;54420;179,36;335036;1104,24;171937;566,68;37090;122,24;134847;444,44;170252;561,13;41174;135,7;-;-;47267;155,79;13246;43,66;-;-
05154001;      Kleve, Kreisverwaltung;303410;47960;158,07;4000;13,18;43960;144,89;43960;144,89;-;-;43960;144,89;4000;13,18;4000;13,18;-;-;-;-;-;-;-;-
05154004;      Bedburg-Hau;12697;6962;548,32;-;-;6962;548,32;6962;548,32;-;-;6962;548,32;-;-;-;-;-;-;-;-;-;-;-;-
05154008;      Emmerich am Rhein, Stadt;30118;55029;1827,11;26463;878,64;28566;948,47;21092;700,31;7900;262,3;13192;438,01;33937;1126,8;26463;878,64;-;-;-;-;-;-;-;-
05154012;      Geldern, Stadt;33131;18625;562,16;8500;256,56;10125;305,6;5625;169,78;-;-;5625;169,78;13000;392,38;8500;256,56;-;-;-;-;-;-;-;-
05154016;      Goch, Stadt;33371;115950;3474,57;-;-;115950;3474,57;25215;755,59;21500;644,27;3715;111,32;56714;1699,5;-;-;-;-;34021;1019,48;-;-;-;-
05154020;      Issum;11890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05154024;      Kalkar, Stadt;13604;17199;1264,26;-;-;17199;1264,26;11721;861,58;3690;271,24;8031;590,34;5478;402,68;-;-;-;-;-;-;-;-;-;-
05154028;      Kerken;12400;6240;503,23;200;16,13;6040;487,1;-;-;-;-;-;-;6240;503,23;200;16,13;-;-;-;-;-;-;-;-
05154032;      Kevelaer, Stadt;27735;36913;1330,91;-;-;36913;1330,91;13108;472,61;4000;144,22;9108;328,39;23805;858,3;-;-;-;-;-;-;-;-;-;-
05154036;      Kleve, Stadt;48260;48606;1007,17;13246;274,47;35360;732,7;23092;478,49;-;-;23092;478,49;12268;254,21;-;-;-;-;13246;274,47;13246;274,47;-;-
05154040;      Kranenburg;10264;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05154044;      Rees, Stadt;21207;12797;603,44;-;-;12797;603,44;8442;398,08;-;-;8442;398,08;4355;205,36;-;-;-;-;-;-;-;-;-;-
05154048;      Rheurdt;6690;475;71;-;-;475;71;475;71;-;-;475;71;-;-;-;-;-;-;-;-;-;-;-;-
05154052;      Straelen, Stadt;15742;10257;651,57;2011;127,75;8246;523,82;-;-;-;-;-;-;10257;651,57;2011;127,75;-;-;-;-;-;-;-;-
05154056;      Uedem;8128;3790;466,29;-;-;3790;466,29;3790;466,29;-;-;3790;466,29;-;-;-;-;-;-;-;-;-;-;-;-
05154060;      Wachtendonk;7946;198;24,92;-;-;198;24,92;-;-;-;-;-;-;198;24,92;-;-;-;-;-;-;-;-;-;-
05154064;      Weeze;10227;8455;826,73;-;-;8455;826,73;8455;826,73;-;-;8455;826,73;-;-;-;-;-;-;-;-;-;-;-;-
05158;    Mettmann, Kreis;477123;943940;1978,4;11294;23,67;932646;1954,73;714154;1496,79;311233;652,31;402921;844,48;37560;78,72;-;-;-;-;192226;402,89;11294;23,67;-;-
05158001;      Mettmann, Kreisverwaltung;477123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05158004;      Erkrath, Stadt;43652;66355;1520,09;-;-;66355;1520,09;60485;1385,62;31000;710,16;29485;675,46;5870;134,47;-;-;-;-;-;-;-;-;-;-
05158008;      Haan, Stadt;30069;17676;587,85;-;-;17676;587,85;17676;587,85;-;-;17676;587,85;-;-;-;-;-;-;-;-;-;-;-;-
05158012;      Heiligenhaus, Stadt;25466;120231;4721,24;-;-;120231;4721,24;105238;4132,49;64769;2543,35;40469;1589,14;14993;588,75;-;-;-;-;-;-;-;-;-;-
05158016;      Hilden, Stadt;54824;22442;409,34;-;-;22442;409,34;22442;409,34;7000;127,68;15442;281,66;-;-;-;-;-;-;-;-;-;-;-;-
05158020;      Langenfeld (Rhld.), Stadt;56986;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05158024;      Mettmann, Stadt;37921;103902;2739,96;-;-;103902;2739,96;103902;2739,96;45575;1201,84;58327;1538,12;-;-;-;-;-;-;-;-;-;-;-;-
05158026;      Monheim am Rhein, Stadt;40136;13889;346,05;-;-;13889;346,05;13889;346,05;13889;346,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05158028;      Ratingen, Stadt;86446;72870;842,95;-;-;72870;842,95;72870;842,95;-;-;72870;842,95;-;-;-;-;-;-;-;-;-;-;-;-
05158032;      Velbert, Stadt;80632;458959;5692,02;11294;140,07;447665;5551,95;250036;3100,95;105000;1302,21;145036;1798,74;16697;207,08;-;-;-;-;192226;2383,99;11294;140,07;-;-
05158036;      Wülfrath, Stadt;20991;67616;3221,19;-;-;67616;3221,19;67616;3221,19;44000;2096,14;23616;1125,05;-;-;-;-;-;-;-;-;-;-;-;-
05162;    Rhein-Kreis Neuss;440974;1216943;2759,67;182691;414,29;1034252;2345,38;623643;1414,24;180645;409,65;442999;1004,59;353708;802,11;156855;355,7;-;-;239592;543,32;25836;58,59;-;-
05162001;      Rhein-Kreis Neuss, Kreisverwaltung;440974;89267;202,43;-;-;89267;202,43;51335;116,41;-;-;51335;116,41;37932;86,02;-;-;-;-;-;-;-;-;-;-
05162004;      Dormagen, Stadt;62614;110544;1765,49;22539;359,97;88005;1405,52;22117;353,23;22117;353,23;-;-;49721;794,09;15031;240,06;-;-;38706;618,17;7508;119,91;-;-
05162008;      Grevenbroich, Stadt;61759;95836;1551,79;-;-;95836;1551,79;66464;1076,2;39478;639,23;26987;436,97;29372;475,59;-;-;-;-;-;-;-;-;-;-
05162012;      Jüchen;22667;59123;2608,33;-;-;59123;2608,33;53992;2381,97;21078;929,9;32914;1452,07;5131;226,36;-;-;-;-;-;-;-;-;-;-
05162016;      Kaarst, Stadt;42286;6013;142,2;-;-;6013;142,2;6013;142,2;-;-;6013;142,2;-;-;-;-;-;-;-;-;-;-;-;-
05162020;      Korschenbroich, Stadt;32296;103633;3208,85;864;26,75;102769;3182,1;83523;2586,17;46792;1448,85;36731;1137,32;20110;622,68;864;26,75;-;-;-;-;-;-;-;-
05162022;      Meerbusch, Stadt;54477;113504;2083,52;-;-;113504;2083,52;113504;2083,52;9327;171,21;104177;1912,31;-;-;-;-;-;-;-;-;-;-;-;-
05162024;      Neuss, Stadt;152256;630256;4139,45;159288;1046,19;470968;3093,26;221652;1455,78;36810;241,76;184842;1214,02;207718;1364,27;140960;925,81;-;-;200886;1319,4;18328;120,38;-;-
